,Season,team,team_full_name,avg_age,avg_exp,avg_weight,avg_height,Odds,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,winner
0,2023,ATL,Atlanta Hawks,24.7,3.35,211.05,78.5,15000,37096500,2755015.5,148633740,1,19,0,0
1,2024,ATL,Atlanta Hawks,25.789473684210527,4.368421052631579,210.6315789473684,78.26315789473684,15000,40064220,2753441.0,157259361,1,21,0,0
2,2023,BOS,Boston Celtics,26.72222222222222,5.333333333333333,225.38888888888889,78.94444444444444,300,30351780,3903140.5,175733265,0,18,17,0
3,2024,BOS,Boston Celtics,25.894736842105264,4.684210526315789,216.6315789473684,79.26315789473684,300,36861707,2019706.0,183679244,1,20,18,1
4,2023,BRK,Brooklyn Nets,27.0,5.12,218.56,78.8,100000,35448672,2138160.0,157516641,1,22,0,0
5,2024,BRK,Brooklyn Nets,25.095238095238095,3.8095238095238093,214.0952380952381,78.23809523809524,100000,37893408,2210040.0,152943858,1,22,0,0
6,2023,CHI,Chicago Bulls,26.666666666666668,5.277777777777778,213.0,78.05555555555556,50000,37096500,1836090.0,149421485,1,22,6,0
7,2024,CHI,Chicago Bulls,26.11111111111111,4.388888888888889,213.94444444444446,78.38888888888889,50000,40064220,3350760.0,167689263,1,22,6,0
8,2023,CHO,Charlotte Hornets,24.473684210526315,3.4210526315789473,207.1578947368421,79.0,100000,30075000,2372565.0,124541054,1,21,0,0
9,2024,CHO,Charlotte Hornets,25.076923076923077,3.6153846153846154,205.15384615384616,78.57692307692308,100000,29682540,3191400.0,138530978,1,24,0,0
10,2023,CLE,Cleveland Cavaliers,26.944444444444443,5.388888888888889,220.5,78.44444444444444,5000,30913750,2000000.0,149251300,1,20,1,0
11,2024,CLE,Cleveland Cavaliers,26.0,4.555555555555555,217.27777777777777,79.0,5000,34005250,2229365.5,164211423,2,22,1,0
12,2023,DAL,Dallas Mavericks,28.0,5.913043478260869,211.52173913043478,77.73913043478261,1000,38917057,1936204.0,173241988,2,20,1,0
13,2024,DAL,Dallas Mavericks,26.0,4.7272727272727275,215.5,78.5909090909091,1000,40064220,2541022.0,163631110,2,20,1,0
14,2023,DEN,Denver Nuggets,26.666666666666668,5.611111111111111,221.61111111111111,78.55555555555556,750,33047803,2808600.0,159119037,1,16,1,1
15,2024,DEN,Denver Nuggets,26.294117647058822,4.882352941176471,221.23529411764707,79.11764705882354,750,47607350,2367300.0,177890198,1,17,1,0
16,2023,DET,Detroit Pistons,24.272727272727273,3.1363636363636362,217.54545454545453,78.68181818181819,100000,19550000,4124280.0,126605293,0,25,3,0
17,2024,DET,Detroit Pistons,25.806451612903224,4.387096774193548,215.61290322580646,78.58064516129032,100000,19928571,4000000.0,136207675,0,25,3,0
18,2023,GSW,Golden State Warriors,26.166666666666668,5.222222222222222,209.05555555555554,78.05555555555556,3000,48070014,2226000.0,189502439,2,19,5,0
